书籍类别,书籍名称,作者,出版社,出版年份
教材教辅,浙江天童国家森林公园的植被和区系,"宋永冒?,?王祥荣",上海科学技术文献出版社,1995
教材教辅,植被生态学（第二版）,宋永昌,高等教育出版社,2017
教材教辅,植被生态学（原著第二版）,"(荷)Eddy van der Maarel，(美)Janet Franklin 编著
杨明玉，欧晓昆 译",科学出版社,2017
教材教辅,植被生态学研究,植被生态学研究编辑委员会,科学出版社,1994
统计类图书,植被数量生态学方法,张金屯,中国科学技术出版社,1995
博物·科普,植物博物学讲义,马克平 [等],北京大学出版社,2020
专著-植被,植物地理论文集,华东师范大学生物系植物地理进修班,华东师范大学出版社,1957
教材教辅,植物地理学（第四版）,武吉华，张绅,高等教育出版社,2014
博物·科普,植物名字的故事,刘夙,人民邮电出版社,2013
博物·科普,植物让人如此动情——枝言草语,祁云枝,西安电子科技大学出版社,2014
博物·科普,植物让人如此动情——植物哲学,祁云枝,西安电子科技大学出版社,2014
博物·科普,植物知道生命的答案,(美)丹尼尔·查莫维茨 编著 ,长江文艺出版社,2014
博物·科普,植物智慧 漫画聪慧的植物,祁云枝,西安电子科技大学出版社,2015
博物·科普,中国常见植物野外识别手册 衡山册,"马克平 丛书主编
何祖霞 册主编",商务印书馆,2016
博物·科普,中国常见植物野外识别手册 荒漠册,"马克平 丛书主编
段士民，尹林克 册主编",商务印书馆,2016
博物·科普,中国常见植物野外识别手册 祁连山册,"马克平 丛书主编
冯虎元，潘建斌 册主编",商务印书馆,2016
博物·科普,中国常见植物野外识别手册 苔藓册,"马克平 丛书主编
张力，贾渝，毛俐慧 册主编",商务印书馆,2016
专著-植被,中国常绿阔叶林,宋永昌,科学出版社,2013
教材教辅,中国城市综合发展指标——2106,国家发展和改革委员会发展规划司,人民出版社,2016
教材教辅,中国地理,赵济，陈传康,高等教育出版社,1999
专著-自然地理,中国地貌,尤联元，杨景春,科学出版社,2013
博物·科普,中国东北主要树木幼苗图说,黄普华，卓丽环,东北林业大学出版社,1992
教材教辅,中国东部常绿阔叶林生态系统退化机制与生态恢复,宋永昌，陈小勇 [等],科学出版社,2007
专著-自然地理,中国动物地理,张荣祖,科学出版社,2011
专著-自然地理,中国干旱区自然地理,陈曦,科学出版社,2010
专著-自然地理,中国古地理——中国自然环境的形成,张兰生,科学出版社,2012
专著-自然地理,中国海岛志 浙江卷 第一册,《中国海岛志》编纂委员会编,海洋出版社,2014
专著-自然地理,中国海洋地理,王颖,科学出版社,2013
教材教辅,中国红松天然林,徐化成,中国林业出版社,2001
校园植物类,中国科学技术大学校园植物图鉴,钱栎屾，邱燕宁,中国科学技术大学出版社,2016
校园植物类,中国科学技术大学校园植物图鉴,钱栎屾，邱燕宁,中国科学技术大学出版社,2016
专著-自然地理,中国历史自然地理,邹逸麟，张修桂,科学出版社,2013
教材教辅,中国立木材积表,刘琪璟,中国林业出版社,2017
教材教辅,中国陆地生态系统碳收支与增汇对策,陈泮勤，王效科，王礼茂 [等],科学出版社,2008
博物·科普,中国鸟类野外手册,"(英)John Mackinnon，(英)Karen Phillipps [等] 编著
卢何芬 译",湖南教育出版社,2000
专著-自然地理,中国气候,丁一汇,科学出版社,2013
专著-植被,中国三清山生物多样性综合科学考察,彭少麟 [等],科学出版社,2008
教材教辅,中国森林生态系统碳储量——动态与机制,王万同，唐旭利，黄玫等,科学出版社,2019
教材教辅,中国森林生态系统碳储量——生物量方程,周国逸 [等],科学出版社,2018
专著-自然地理,中国水文地理,刘昌明,科学出版社,2014
专著-自然地理,中国土壤地理,龚子同,科学出版社,2014
专著-自然地理,中国土系志 上海卷,杨金玲 [等],科学出版社,2017
专著,中国外来植物,何家庆,上海科学技术出版社,2012
专著-植被,中国亚热带植被研究综论,祁承经,中国林业出版社,2012
博物·科普,中国——园林之母,"Ernest Henry Wilson 编著 
胡启明 译",广东科技出版社,2015
专著,中国栽培植物名录（上、下册）,林秦文,科学出版社,2018
专著-自然地理,中国植物区系与植物地理,陈灵芝,科学出版社,2015
专著-自然地理,中国自然地理总论,郑度,科学出版社,2015
专著-植被,诸母岗植物区系与植被考察,陈希荣，龚满华，何建源，,福建省武夷山自然保护区研究室,1983
专著,自然界和社会中的临界转换,Marten Scheffer 何萍 等译,中国环境出版集团,2020
博物·科普,自然是最好的学校——台湾环境教育实践,周儒,上海科学技术出版社,2013
